     size  average_time  BigO(log2n)  Bigo(nlog2n)    Bigo(n**2)
0     800      0.000200     9.643856  7.715085e+03        640000
1    1600      0.001788    10.643856  1.703017e+04       2560000
2    3200      0.004089    11.643856  3.726034e+04      10240000
3    6400      0.009973    12.643856  8.092068e+04      40960000
4   12800      0.023388    13.643856  1.746414e+05     163840000
5   25600      0.053348    14.643856  3.748827e+05     655360000
6   51200      0.114997    15.643856  8.009654e+05    2621440000
7  102400      0.268185    16.643856  1.704331e+06   10485760000
8  204800      0.721274    17.643856  3.613462e+06   41943040000
9  409600      1.320884    18.643856  7.636523e+06  167772160000
